date,ticker,secteur,bourse,pays,rating,anciennete,employes,prix_ouverture,prix_haut,prix_bas,prix_cloture,volume,market_cap_m,rendement_jour,rendement_log,volatilite_20j,beta,per,pbr,roe,roa,debt_equity,dividend_yield,rsi,macd,moy_mobile_50,moy_mobile_200,bollinger_width,sentiment,taux_central,inflation,vix,defaut_recent
2021-10-14,ZYZY,Consommation,LSE,USA,AA,25.5,886,44.5,45.46,44.32,45.39,1247697,516.68,0.021476,0.021249,0.01604,1.021,32.58,3.21,-0.0194,0.0336,1.35,0.0065,62.0,-0.105,47.27,50.66,0.0375,0.262,0.035,0.0398,18.47,0
2018-08-19,WNSG,Energie,NASDAQ,Allemagne,CCC,20.6,4921,163.98,164.57,159.72,161.19,6984614,4133.54,-0.012935,-0.013019,0.03461,0.802,31.02,0.3,0.0304,0.0951,1.669,0.0323,25.2,-0.216,180.1,164.11,0.0585,-0.595,0.0045,0.041,27.26,0
2023-02-12,STLR,Industrie,EURONEXT,USA,B,33.3,467,69.38,70.78,69.25,69.75,1997451,1572.67,0.003875,0.003868,0.02251,0.942,6.71,6.4,0.1099,0.1302,1.068,0.0201,60.6,0.18,68.31,74.52,0.0632,-0.385,0.0488,0.0136,27.83,0
2018-07-11,KWFW,Sante,NYSE,France,BBB,29.0,805,30.85,31.07,29.71,30.02,1437889,667.77,-0.024266,-0.024565,0.01534,0.808,17.12,1.32,-0.1106,0.0129,1.912,0.0114,18.4,-1.849,30.82,32.71,0.0371,-0.127,0.0124,0.0386,10.39,0
2018-09-16,THEP,Tech,NASDAQ,UK,BBB,11.4,1359,23.66,23.87,23.02,23.26,1852563,937.66,-0.00855,-0.008587,0.01863,1.196,31.69,4.21,0.2551,0.1322,0.413,0.039,62.7,-1.622,23.6,19.78,0.051,0.444,0.0049,0.0452,17.41,0
2022-10-22,YLGY,Industrie,NASDAQ,USA,BB,24.8,1587,202.26,204.0,201.48,202.49,1158298,3505.23,0.006077,0.006058,0.02066,0.823,10.81,0.67,0.1976,0.0838,1.369,0.0288,17.0,-2.912,197.56,239.8,0.0365,0.591,0.0462,0.0233,25.46,0
2019-09-16,QKKB,Consommation,NASDAQ,USA,A,21.8,528,57.99,58.79,57.68,58.76,1317592,449.36,0.02054,0.020332,0.02089,0.467,14.87,2.93,0.1128,0.0301,0.887,0.017,64.2,-4.074,53.2,66.74,0.0199,0.733,-0.01,0.0255,25.45,0
2020-03-12,VMUF,Consommation,NYSE,France,B,1.0,1729,32.82,32.84,32.15,32.18,704177,2038.68,-0.008637,-0.008675,0.00843,0.667,3.0,1.7,0.1232,0.1519,2.305,0.0258,28.2,-3.158,31.31,31.15,0.0345,-0.169,-0.0042,0.009,22.47,0
2023-04-10,CAPX,Tech,LSE,Chine,BB,23.2,216,32.4,32.7,31.83,31.95,617718,172.26,-0.006728,-0.00675,0.00333,1.279,15.86,0.3,,0.0275,0.466,0.0319,23.4,5.323,30.21,33.68,0.0455,0.538,0.049,0.0065,32.31,0
2021-11-01,TRND,Energie,NYSE,Chine,A,1.2,12060,185.31,187.62,183.8,185.14,2791874,9446.55,0.004045,0.004037,0.01733,0.925,24.65,1.89,0.1081,0.0239,2.29,0.0001,54.5,2.238,174.07,168.41,0.0488,-0.494,0.0368,0.0469,19.81,0
2015-03-05,OJCH,Finance,LSE,Canada,B,18.7,2035,62.94,64.72,62.89,64.44,3506909,3219.13,0.017534,0.017382,0.03671,0.762,4.63,2.18,0.1772,0.1106,0.837,0.0265,18.4,-3.419,67.22,52.79,0.0135,-0.032,0.0257,0.0351,19.75,0
2018-07-07,RVIS,Industrie,TSX,USA,A,23.5,1191,25.32,25.57,25.12,25.12,3239802,1379.02,-0.007647,-0.007677,0.03223,1.151,4.05,4.69,0.069,0.0468,2.218,0.0038,56.6,-2.427,25.87,23.01,0.0276,0.09,0.0069,0.0376,30.59,0
2022-04-14,ZCJA,Sante,NYSE,USA,B,6.5,843,28.93,29.58,28.81,29.43,1144661,1094.31,0.009868,0.00982,0.02013,0.996,8.98,2.56,0.1193,0.073,1.521,0.0085,48.4,-2.194,29.99,33.41,0.0358,-0.368,0.0455,0.0432,6.99,0
2017-04-06,EVVY,Consommation,NASDAQ,France,BBB,15.5,4038,27.4,27.71,27.17,27.65,1005987,3455.5,0.003033,0.003029,0.02702,0.646,23.85,1.17,0.0292,0.0485,0.282,0.0052,69.8,-0.176,27.8,23.55,0.0251,0.418,0.0438,0.0032,19.27,0
2020-03-12,QZTD,Energie,NASDAQ,Chine,AA,17.8,2255,56.46,57.03,53.05,54.36,1593329,1489.61,-0.034101,-0.034696,0.0136,0.849,21.85,3.79,0.1565,0.1372,1.425,0.0104,14.2,2.93,53.26,69.12,0.0636,0.227,-0.0076,0.0101,28.68,0
2021-06-10,MKCD,Finance,TSX,UK,BBB,8.7,2789,195.69,200.85,194.1,199.29,368761,4295.23,0.018597,0.018427,0.01577,1.206,10.38,4.92,-0.0551,0.0823,1.005,0.0187,21.0,0.467,196.69,190.1,0.0323,0.025,0.0252,0.0273,22.86,0
2019-04-22,YYZL,Sante,LSE,UK,BBB,22.4,70,16.59,16.84,16.43,16.53,5490613,88.22,-0.007657,-0.007686,0.03253,0.745,7.32,1.74,,0.0494,2.311,0.0126,7.6,1.623,17.33,16.74,0.0352,0.847,-0.0092,0.0359,20.87,0
2019-03-15,JXEL,Tech,NASDAQ,USA,BB,13.1,127,48.71,48.72,43.31,44.35,2674879,96.73,-0.084256,-0.088018,0.02599,1.424,19.18,0.87,0.1797,0.0521,0.74,0.011,78.2,-1.204,46.41,38.04,0.0502,-0.596,-0.0052,0.0361,21.47,0
2015-12-21,TCGJ,Consommation,TSX,USA,BB,19.1,9892,149.49,151.02,148.43,150.28,3121329,12460.46,0.008704,0.008666,0.01682,0.956,19.5,2.62,0.0551,0.0914,0.658,0.02,55.1,1.249,151.19,164.92,0.0462,-0.096,0.0461,0.0445,18.48,0
2020-08-19,ZZGW,Sante,NASDAQ,USA,A,36.3,3050,47.89,48.22,46.41,46.61,187110,3014.52,-0.024483,-0.024788,0.02148,0.795,17.76,2.8,0.2207,0.0999,2.369,0.0327,36.3,-0.64,49.83,42.73,0.0633,0.202,0.0031,0.01,22.27,0
